titles,videoIds,publishedAt,video_urls
"Proceedings of Thursday, 28th July, 2022",Bl-zkkI1-Y0,2022-09-03T00:17:31Z,https://www.youtube.com/watch?v=Bl-zkkI1-Y0
"Proceedings of Wednesday, 27th July, 2022",AV0W7mUiuUA,2022-09-03T00:17:40Z,https://www.youtube.com/watch?v=AV0W7mUiuUA
"Proceedings of Tuesday, 26th July, 2022",j65yIGM-Ts4,2022-09-03T00:17:46Z,https://www.youtube.com/watch?v=j65yIGM-Ts4
"Proceedings of Monday, 25th July, 2022",1FRTUmuoDg4,2022-09-03T00:17:54Z,https://www.youtube.com/watch?v=1FRTUmuoDg4
"Proceedings of Friday, 22nd July, 2022",EE_upJXTOd8,2022-09-03T00:18:06Z,https://www.youtube.com/watch?v=EE_upJXTOd8
"Proceedings of Thursday, 21st July, 2022",559N-m5mu3c,2022-09-03T00:18:12Z,https://www.youtube.com/watch?v=559N-m5mu3c
"Proceedings of Wednesday, 20th July, 2022",UiHP0qGu_FE,2022-09-03T00:18:24Z,https://www.youtube.com/watch?v=UiHP0qGu_FE
"Proceedings of Tuesday, 19th July, 2022",o3yPr_lAOpw,2022-09-03T00:18:33Z,https://www.youtube.com/watch?v=o3yPr_lAOpw
"Proceedings of Friday, 15th July, 2022",Jk7VJ1880Qc,2022-09-03T00:18:39Z,https://www.youtube.com/watch?v=Jk7VJ1880Qc
"Proceedings of Wednesday, 13th July, 2022",q5oTP4B-sQQ,2022-09-03T00:19:00Z,https://www.youtube.com/watch?v=q5oTP4B-sQQ
"Proceedings of Friday, 1st July, 2022",PZzPQHTr440,2022-09-03T00:19:09Z,https://www.youtube.com/watch?v=PZzPQHTr440
"Proceedings of Wednesday, 29th June, 2022",7v819WpG-KU,2022-09-03T00:19:32Z,https://www.youtube.com/watch?v=7v819WpG-KU
"Proceedings of Friday, 24th June, 2022",lICmo8KOpGA,2022-09-03T00:19:42Z,https://www.youtube.com/watch?v=lICmo8KOpGA
"Proceedings of Tuesday, 9th November, 2021",fbr8HlHkcy4,2022-09-03T00:21:41Z,https://www.youtube.com/watch?v=fbr8HlHkcy4
