titles,videoIds,publishedAt,video_urls
"SENATE PROCEEDINGS, TUESDAY 21, 2022 AT 2:30PM",1eGa4-xLggU,2022-07-26T08:38:25Z,https://www.youtube.com/watch?v=1eGa4-xLggU
"SENATE PROCEEDINGS, TUESDAY 21, 2022 AT 2:30PM",B0k2Sqj8nA0,2022-06-21T11:11:46Z,https://www.youtube.com/watch?v=B0k2Sqj8nA0
"SENATE PROCEEDINGS, TUESDAY 21, 2022 AT 10.00 AM",3dq1Rzk_hL0,2022-06-21T06:09:53Z,https://www.youtube.com/watch?v=3dq1Rzk_hL0
"SENATE PROCEEDINGS, THURSDAY 16TH JUNE, 2022",lGvtZvB6wKU,2022-06-16T11:05:58Z,https://www.youtube.com/watch?v=lGvtZvB6wKU
"SENATE PROCEEDINGS, WEDNESDAY 15TH JUNE, 2022",TYxh-qMeQDY,2022-06-15T11:04:08Z,https://www.youtube.com/watch?v=TYxh-qMeQDY
"SENATE PROCEEDINGS, TUESDAY 14TH JUNE, 2022",IA07VeCyKNY,2022-06-14T10:54:40Z,https://www.youtube.com/watch?v=IA07VeCyKNY
"SENATE PROCEEDINGS, WEDNESDAY 8TH JUNE, 2022",3ufyi69m3bw,2022-06-08T10:55:37Z,https://www.youtube.com/watch?v=3ufyi69m3bw
"SENATE PROCEEDINGS, TUESDAY 7TH JUNE, 2022",1Q5Tb5QWnhQ,2022-06-07T10:03:46Z,https://www.youtube.com/watch?v=1Q5Tb5QWnhQ
"SENATE PROCEEDINGS, 18TH MAY 2022",t6bmmEea01Y,2022-05-18T11:39:51Z,https://www.youtube.com/watch?v=t6bmmEea01Y
"SENATE PROCEEDINGS, WEDNESDAY 18TH MAY, 2022",5QYMLuSy0so,2022-05-18T11:35:51Z,https://www.youtube.com/watch?v=5QYMLuSy0so
"SENATE PROCEEDINGS 18TH  MAY 2022 ,AFTERNOON SESSION",3j0mUt94RfU,2022-05-18T10:37:47Z,https://www.youtube.com/watch?v=3j0mUt94RfU
"SENATE PROCEEDINGS, TUESDAY 17TH MAY, 2022",7wPIDpbi-fk,2022-05-17T11:15:09Z,https://www.youtube.com/watch?v=7wPIDpbi-fk
"SENATE PROCEEDINGS, THURSDAY 12TH MAY, 2022",JhmnOI_FGdk,2022-05-12T11:09:14Z,https://www.youtube.com/watch?v=JhmnOI_FGdk
"The Senate Sitting, Wednesday 11th May, 2022 At. 2.30 PM",nVJRVOGF66Y,2022-05-11T11:05:09Z,https://www.youtube.com/watch?v=nVJRVOGF66Y
"Senate Proceedings TUESDAY, 10th May 2022 at 2.30 PM",b13rc_MQJvw,2022-05-10T11:19:07Z,https://www.youtube.com/watch?v=b13rc_MQJvw
"Senate Proceedings Thursday, 5th May 2022 at 2.30 PM",Rk0WIuSx6Hw,2022-05-05T10:40:46Z,https://www.youtube.com/watch?v=Rk0WIuSx6Hw
"Senate proceedings Wednesday, 4th May 2022 at 2.30 PM",f4U2l7-BZsI,2022-05-04T11:30:06Z,https://www.youtube.com/watch?v=f4U2l7-BZsI
"SENATE PROCEEDINGS, THURSDAY 28TH APRIL, 2022",kmSno-ZWGCc,2022-04-28T10:28:13Z,https://www.youtube.com/watch?v=kmSno-ZWGCc
"SENATE PROCEEDINGS, WEDNESDAY 27TH  APRIL, 2022",EpTeMAnUGSM,2022-04-27T09:49:12Z,https://www.youtube.com/watch?v=EpTeMAnUGSM
"SENATE PROCEEDINGS,TUESDAY 26TH  APRIL, 2022",92v28E12GIE,2022-04-26T11:08:20Z,https://www.youtube.com/watch?v=92v28E12GIE
"SENATE PROCEEDINGS, THURSDAY  7TH APRIL 2022",Zx8oUzn-_3w,2022-04-07T10:54:21Z,https://www.youtube.com/watch?v=Zx8oUzn-_3w
"SENATE PROCEEDINGS, 6TH APRIL, 2022",z296JgQeqCU,2022-04-06T11:24:49Z,https://www.youtube.com/watch?v=z296JgQeqCU
"SENATE PROCEEDINGS, 5th APRIL, 2022",N8ZJDCRedL8,2022-04-05T11:05:32Z,https://www.youtube.com/watch?v=N8ZJDCRedL8
"SENATE PROCEEDINGS, 31ST MARCH, 2022",q05WdpZ7sZM,2022-03-31T10:52:56Z,https://www.youtube.com/watch?v=q05WdpZ7sZM
"Senate Proceedings, Wednesday 30th March, 2022. Afternoon Sitting",0MAvWUpU6F8,2022-03-30T11:24:22Z,https://www.youtube.com/watch?v=0MAvWUpU6F8
"SENATE PROCEEDINGS, 10TH MARCH, 2022,",pRKNjuS0K58,2022-03-10T11:26:02Z,https://www.youtube.com/watch?v=pRKNjuS0K58
"SENATE PROCEEDINGS, 9TH MARCH, 2022, AFTERNOON SESSION.",V_IdozMSn5I,2022-03-09T11:14:58Z,https://www.youtube.com/watch?v=V_IdozMSn5I
"SENATE PROCEEDINGS, 9TH MARCH, 2022, MORNING SESSION.",u8XzKMWn4jQ,2022-03-09T06:25:15Z,https://www.youtube.com/watch?v=u8XzKMWn4jQ
"SENATE PROCEEDINGS, 8TH MARCH, 2022",DZQUPLD7cuI,2022-03-08T11:07:43Z,https://www.youtube.com/watch?v=DZQUPLD7cuI
"SENATE PROCEEDINGS, 3RD MARCH, 2022",m7M7I3CnerE,2022-03-03T10:30:24Z,https://www.youtube.com/watch?v=m7M7I3CnerE
"SENATE PROCEEDINGS, 2ND MARCH, 2022 AFTERNOON SESSION",d7ui9c87d8c,2022-03-02T10:18:49Z,https://www.youtube.com/watch?v=d7ui9c87d8c
"SENATE PROCEEDINGS, 2ND MARCH, 2022 MORNING SESSION",TBBg3MIva0A,2022-03-02T06:44:34Z,https://www.youtube.com/watch?v=TBBg3MIva0A
"SENATE PROCEEDINGS, 1ST MARCH, 2022",uTIC12_2h58,2022-03-01T11:00:42Z,https://www.youtube.com/watch?v=uTIC12_2h58
"SENATE PROCEEDINGS, 24TH FEBRUARY, 2022 AFTERNOON",hGBJkSRc_tw,2022-02-24T10:37:22Z,https://www.youtube.com/watch?v=hGBJkSRc_tw
"SENATE PROCEEDINGS, 23RD FEBRUARY, 2022 AFTERNOON",ALxHFuia3C0,2022-02-23T11:22:02Z,https://www.youtube.com/watch?v=ALxHFuia3C0
"SENATE PROCEEDINGS, 23RD FEBRUARY, 2022",8pjGsOZDSr8,2022-02-23T06:39:23Z,https://www.youtube.com/watch?v=8pjGsOZDSr8
"SENATE PROCEEDINGS, 22ND FEBRUARY, 2022",sLDziN_nkco,2022-02-22T10:52:00Z,https://www.youtube.com/watch?v=sLDziN_nkco
"SENATE PROCEEDINGS, 17TH FEBRUARY, 2022 AT 2.30 P.M.",G1kGBVOeQJQ,2022-02-17T10:52:21Z,https://www.youtube.com/watch?v=G1kGBVOeQJQ
"SENATE PROCEEDINGS, 16TH FEBRUARY, 2022 AT 2.30 P.M.",l8_CwrM93yM,2022-02-16T11:23:07Z,https://www.youtube.com/watch?v=l8_CwrM93yM
"SENATE PROCEEDINGS, 16TH FEBRUARY, 2022",gUELXKb58v0,2022-02-16T06:45:24Z,https://www.youtube.com/watch?v=gUELXKb58v0
"SENATE PROCEEDINGS, 15TH FEBRUARY, 2022",xGr8XvgBPDg,2022-02-15T11:26:07Z,https://www.youtube.com/watch?v=xGr8XvgBPDg
"SENATE PROCEEDINGS, 10TH FEBRUARY, 2022",mDpMQv3C3-M,2022-02-10T10:57:39Z,https://www.youtube.com/watch?v=mDpMQv3C3-M
"SENATE PROCEEDINGS, 9TH FEBRUARY, 2022",cWvODMZqxXA,2022-02-09T11:08:55Z,https://www.youtube.com/watch?v=cWvODMZqxXA
"SENATE PROCEEDINGS, 8TH FEBRUARY, 2022",diuJW1KGTyg,2022-02-08T10:38:45Z,https://www.youtube.com/watch?v=diuJW1KGTyg
"SENATE PROCEEDINGS, SPECIAL SITTING, 27TH JANUARY 2022 AFTERNOON",Va8Pc5ZcXCY,2022-01-27T11:10:54Z,https://www.youtube.com/watch?v=Va8Pc5ZcXCY
"Senate Special Sitting, Thursday 27th January 2022. Morning Session",mutlX2HClZY,2022-01-27T06:21:20Z,https://www.youtube.com/watch?v=mutlX2HClZY
"Senate Special Sitting, Wednesday 26th January 2022. Afternoon Session",DzEeFhEX2Z4,2022-01-26T11:26:45Z,https://www.youtube.com/watch?v=DzEeFhEX2Z4
"SENATE PROCEEDINGS, SPECIAL SITTING, 25TH JANUARY 2022",9cdjxqSuvxM,2022-01-25T11:28:33Z,https://www.youtube.com/watch?v=9cdjxqSuvxM
"Senate Special Sitting, Wednesday 22nd December 2021. Afternoon Sitting.",KUyGYrA7XsQ,2021-12-22T11:19:11Z,https://www.youtube.com/watch?v=KUyGYrA7XsQ
"SENATE PROCEEDINGS, 2ND DECEMBER 2021, AFTERNOON SESSION",sa31_L7N0tg,2021-12-02T10:57:55Z,https://www.youtube.com/watch?v=sa31_L7N0tg
"SENATE PROCEEDINGS, 2ND DECEMBER 2021, MORNING SESSION",5FpfyK15aog,2021-12-02T06:21:56Z,https://www.youtube.com/watch?v=5FpfyK15aog
"SENATE PROCEEDINGS, 1ST DECEMBER 2021, AFTERNOON SESSION",gyJOtlUXsUg,2021-12-01T11:15:38Z,https://www.youtube.com/watch?v=gyJOtlUXsUg
"Senate Proceedings , Wednesday 1st  December, 2021. Morning Session",q8sy6Fo9nB4,2021-12-01T06:17:50Z,https://www.youtube.com/watch?v=q8sy6Fo9nB4
"The Senate Proceedings Thursday 18th November, 2021 at 2.30 P.M",fQ9L_vdwOiI,2021-11-18T11:23:30Z,https://www.youtube.com/watch?v=fQ9L_vdwOiI
"Senate Proceedings, Wednesday 17th November, 2021. at 2.30 P.M",Ma_JYNS-AuI,2021-11-17T11:14:24Z,https://www.youtube.com/watch?v=Ma_JYNS-AuI
"SENATE PROCEEDINGS, TUESDAY 16TH NOVEMBER, 2021",sdcCc7Bingc,2021-11-16T10:57:55Z,https://www.youtube.com/watch?v=sdcCc7Bingc
"SENATE PROCEEDINGS, THURSDAY 11TH NOVEMBER, 2021",yOCmrE8wfts,2021-11-11T11:06:20Z,https://www.youtube.com/watch?v=yOCmrE8wfts
"SENATE PROCEEDINGS, WEDNESDAY 10TH NOVEMBER, 2021",NBb_Kc3myck,2021-11-10T11:27:11Z,https://www.youtube.com/watch?v=NBb_Kc3myck
"SENATE PROCEEDINGS, TUESDAY 9TH NOVEMBER, 2021",w3d1X0zw5Xo,2021-11-09T11:08:16Z,https://www.youtube.com/watch?v=w3d1X0zw5Xo
"SENATE PROCEEDINGS, THURSDAY 21ST OCTOBER, 2021",o8OP9_vJ-bA,2021-10-21T10:25:38Z,https://www.youtube.com/watch?v=o8OP9_vJ-bA
"SENATE PROCEEDINGS, TUESDAY 19TH OCTOBER, 2021",WLVUt0C9RLE,2021-10-19T09:56:02Z,https://www.youtube.com/watch?v=WLVUt0C9RLE
"SENATE PROCEEDINGS, THURSDAY 14TH OCTOBER, 2021",8_ul3-n-xX8,2021-10-14T11:11:44Z,https://www.youtube.com/watch?v=8_ul3-n-xX8
"SENATE PROCEEDINGS, WEDNESDAY, 13TH OCTOBER, 2021",roSv4CeUuAo,2021-10-13T11:01:22Z,https://www.youtube.com/watch?v=roSv4CeUuAo
"SENATE PROCEEDINGS,  TUESDAY 12TH OCTOBER, 2021",koXo4VvDqMg,2021-10-12T10:27:03Z,https://www.youtube.com/watch?v=koXo4VvDqMg
"SENATE PROCEEDINGS,  THURSDAY 7TH OCTOBER, 2021",wQHiLhS2GdI,2021-10-07T11:26:07Z,https://www.youtube.com/watch?v=wQHiLhS2GdI
SENATE PROCEEDINGS  WEDNESDAY 6TH OCTOBER 2021,iEErUqLnxaE,2021-10-06T11:13:57Z,https://www.youtube.com/watch?v=iEErUqLnxaE
"SENATE PROCEEDINGS, 5TH OCTOBER, 2021",9Xwu1-EEeak,2021-10-05T10:53:49Z,https://www.youtube.com/watch?v=9Xwu1-EEeak
Private video,2NP_wQzvE74,2021-09-29T09:09:35Z,https://www.youtube.com/watch?v=2NP_wQzvE74
Private video,vmnuVvvlMSc,2021-09-29T06:10:58Z,https://www.youtube.com/watch?v=vmnuVvvlMSc
"SENATE PROCEEDINGS, 28TH SEPTEMBER, 2021",VvZG_7zeGgA,2021-09-28T11:19:37Z,https://www.youtube.com/watch?v=VvZG_7zeGgA
"Senate Proceedings , 22nd, September 2021",I0fTvr9Ail4,2021-09-22T11:26:55Z,https://www.youtube.com/watch?v=I0fTvr9Ail4
"SENATE PROCEEDINGS, 21ST SEPTEMBER 2021",5UJuNyPhM7U,2021-09-21T10:41:25Z,https://www.youtube.com/watch?v=5UJuNyPhM7U
"SENATE PROCEEDINGS, 16TH SEPTEMBER 2021",-mjR96zeLO8,2021-09-16T11:18:23Z,https://www.youtube.com/watch?v=-mjR96zeLO8
