titles,videoIds,publishedAt,video_urls
"Portfolio Committee on Communications (Subcommittee), 29 May 2020",smtnZuecRrw,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=smtnZuecRrw
"Jm: PC on DTI and SC on DTI, Small Business, Tourism, Labour, 1 May 2020",WpUPzLs5-XY,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=WpUPzLs5-XY
"Portfolio Committee on Defence and Military Veterans, 1 May 2020",FCYum3K6gw0,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=FCYum3K6gw0
"Portfolio Committee on Employment and Labour, 01 May 2020",Xo4BCEWB-9s,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=Xo4BCEWB-9s
"Portfolio Committee on Employment and Labour, 01 May 2020",2anXhduuMEk,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=2anXhduuMEk
"Portfolio Committee on Public Works and Infrastructure,  04 May 2020",ZK1uamZMoTs,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=ZK1uamZMoTs
"Joint Meeting: PC on Justice & Correctional Services & SE Security & Justice, 04 May 2020",FiJRITsMG5o,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=FiJRITsMG5o
"Sub-Committee of the Portfolio Committee on Communications, 04 May 2020",hA9TCucE3w0,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=hA9TCucE3w0
"JM: PC on Tourism and SC on DTI, Economic Development, Small Business , Tourism, Labour 04 May 2020",Rh1WqO0sLlY,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=Rh1WqO0sLlY
"JM: PC on Tourism and SC on DTI, Economic Development, Small Business , Tourism, Labour 04 May 2020",fSzuMXSrg34,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=fSzuMXSrg34
"Joint Meeting: Standing Committee on Finance and Select Committee on Finance, 5 May 2020",TmBHZDs_Xmg,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=TmBHZDs_Xmg
"Portfolio Committee on Sports, Arts and Culture, 5 May 2020",pWo4Kyjoeno,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=pWo4Kyjoeno
NCOP Programme Committee Meeting: 5 May 2020,NGJw9dOlE3s,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=NGJw9dOlE3s
"JM: PC on Agriculture, Land Reform and Rural Development and SC on Land Reform, Environment, Mineral",lWLOAzvJe_w,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=lWLOAzvJe_w
"JM: PC on Women, Youth and Persons with Disabilities and SC on Health and Social Services, 5 May 202",EwuKVgILkIc,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=EwuKVgILkIc
"Portfolio Committee on Agriculture, Land Reform and Rural Development. 5 May 2020",eV6-aBF7ogU,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=eV6-aBF7ogU
"Portfolio Committee on Defence and Military Veterans, 5 May 2020",m7bSnGSvWHI,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=m7bSnGSvWHI
"JM: PC on Human Settlements and Select Committee on COGTA, Human Settlements,  5 May 2020",uDOUlTPZvMY,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=uDOUlTPZvMY
